# Constructed from biom file
#OTU ID	m54271_200325
263e28c6291f8db4758c876c6201d0aeed94a43b	65.0
53d5ad9a11b2f6f4b943f50f0961ab29155987b6	195.0
3dc98e4703381291841e7dfc14cef23e1f9cb012	1000.0
485de4055ac80c463ab4bccd15bd652f4a5e9e99	1040.0
6f8cf2c76649e2f0665778bb047335eb8f1a48ce	60.0
c60806bc12b70566660c13bd04dd99cc910291fa	66.0
234e67bacafc92459fa6c8fdecca883c6a5daa1a	51.0
ccaef7d3654d3e589e0d379044918cf2f3bce4df	65.0
721235bfef8114d8caf859ee80315e00c564c39f	3.0
2c4960e68db120b2b5740a0c8d6a3afa678d7920	3.0
088fc4aaaf8c3132ca5dffcb141d9a2da223ae55	178.0
c19fd882927b98c516ff885f059993a00b07ce65	2.0
cd05ff5d0fe87621000b1ff7951138f2789ed403	80.0
dfe7351aa74a3c5889927805e62fdf5a649d471d	1.0
6ef2b6186916dd2c099608c21fbfcf56cdb264b0	11.0
ec7b2e314802755794394a200bb797dfce245939	1.0
9d9f9b5d1831939762444b10d2945c2751ad19d5	1.0
fbad4fa8e35e6cb77ee9327ceba29a7f604733ea	1.0
ced8a0a252608bc5d2d2eed297d6ebb1d6eeffd6	2.0
897bd1af268c93d1a6ad31e082d17ce08c7ca653	1.0
005d911dd6b18a74f03f39b5d7e546b8fc4bb31c	160.0
191c80cea74058296dbbd14cc3237ad3caf32a6e	6.0
26d69a747fea222322fca63c01c1ae2b4c1d78ac	10.0
b22218f4c41b36b41ce955d021b4e2e80990bef3	1.0
23375aafb3f52ea8b19be517f6c1933850bd28f7	2.0
7efcf1804ebfa074471d1302859a4ab63847f3fb	2.0
0425646c0e49d2576f7c1df688a3dd3d99165875	1.0
c05a8f9466c94e79c2fe3983447631fab2cbe8a4	1.0
0023e5a7f511d911c9d99958538e282475cd4760	48.0
015256bf206075ff3ca69887b105ee090d8ff76a	43.0
b91d3b94f841d71a0ae004867cfff65d87a741d5	1.0
9a11941365a36d50e4e4b862c5e32d64bc3525df	1.0
cfce34771f17eb4adc1438ddd7048091687a8071	7.0
997e6239699ec0af97841c422b6cecd15fcb6d3a	1.0
5c113584dee28f16aa8d1b64fc8af6e0b780b71c	1.0
68abc778ea300cb8bdc0a292f417dc829bf0cb7b	1.0
d22d25992377f45c5d306ad59e00b9f875469e4a	1.0
6780ec9b57fd86a30248c82c98d48b1dff57573f	1.0
1be56bd4033db9c274b3b4fe1280e13d6d608355	1.0
30f771545da2aa4cfda0c92c2c2602818be43bf5	2.0
a14ff151507b0dc882c48c225fa2d3486f5970e4	2.0
1fa6eae52aa1eaf62431bbf972817c2da2e1e2e3	2.0
2ee235ac3964c1d40269f3c72da7995d57fe2da3	1.0
27565748c26903d1ab02e4247d04e230553db762	1.0
bb0bd83e553941201a7c08747c1a439f58a079a2	1.0
9387255075f97b007d949300cee98426766c1663	1.0
ca5c2561f930c2be686a212a3b6b44d10f8d276c	1.0
c8a1e19da6be41f29fd2868d95c2a694083cd512	2.0
524aa7dfcbc4add25de4442dcb08c295f7e7f6d0	4.0
39ef5aa6d151832a391f17084562e7741d699605	1.0
5b715c47aa0aac9cc8c9b36e12a71a063e4726d0	2.0
39a908820ec40f10b5319829ee1876297e0a7243	53.0
0afd92d8b39a8f1fbe984ac81acce2d430e2f034	45.0
c2a982d07ba8b124de70006111e229f69a086bc7	1.0
7cb377fc47b8183be3d887223f309a985eb87842	1.0
3ffa318cb58d6b73b5a53fd7644387a4fa678add	1.0
e1ee5536b78d4f18ccd60ae6604f75aa9de8d778	1.0
ca6822f7a266ed13e7ae89509f3a3262e68b0e80	1.0
2e829f8a38b5c7b7110caf3f55e8f778c74fcb6e	9.0
a8e529007b97fcfdba3198543a97dd63a002ba6b	1.0
d7bb5f91871f172b37a088d2a44d8142a6de5804	1.0
93c975363cd178f0772725a3c98edeb2848bf3bf	1.0
01e9ad1160a716b88eb782f203d2748133029c1e	54.0
a39b8959243324c0b91dd7f3e16a6ffb40d0fa66	1.0
407bf8b3db8a68113916a4239ca3479bf5642485	2.0
c1daec8067a7886f41a8d6031ef9359db5fb721d	1.0
5f57549837c013bf970bbf3757d33a7ea9c4cd56	4.0
32263c5c991db5b2cd113287fdb978a9b13238fd	1.0
bb795f2c78e7dbd9d46277bef006093b990faa6d	1.0
ccabd00d9726cf0df1340adb0f59a027e365b877	1.0
b2b00c5c6c243d833942997414af21e5c1b4d724	1.0
0c499032163555c2eab2b26548d250fd2d3b78bc	7.0
626269ed78be7e4194803d02f51e228835770aba	1.0
023299e08b0a545760cb8308c3e3e84457f63fb3	7.0
